Node,Commodity,Day,Month,Year,Timestep,Value
Farmoor,water,1.0,1,2020.0,1,13822.0
London Storages,water,1.0,1,2020.0,1,202828.0
Farmoor,water,2.0,1,2020.0,2,13822.0
London Storages,water,2.0,1,2020.0,2,202828.0
Farmoor,water,3.0,1,2020.0,3,13822.0
London Storages,water,3.0,1,2020.0,3,202828.0
Farmoor,water,4.0,1,2020.0,4,13822.0
London Storages,water,4.0,1,2020.0,4,202828.0
Farmoor,water,5.0,1,2020.0,5,13822.0
London Storages,water,5.0,1,2020.0,5,202828.0
Farmoor,water,6.0,1,2020.0,6,13822.0
London Storages,water,6.0,1,2020.0,6,202828.0
Farmoor,water,7.0,1,2020.0,7,13822.0
London Storages,water,7.0,1,2020.0,7,202828.0
Farmoor,water,8.0,1,2020.0,8,13822.0
London Storages,water,8.0,1,2020.0,8,202828.0
Farmoor,water,9.0,1,2020.0,9,13822.0
London Storages,water,9.0,1,2020.0,9,202828.0
Farmoor,water,10.0,1,2020.0,10,13822.0
London Storages,water,10.0,1,2020.0,10,202828.0
Farmoor,water,11.0,1,2020.0,11,13822.0
London Storages,water,11.0,1,2020.0,11,202828.0
Farmoor,water,12.0,1,2020.0,12,13822.0
London Storages,water,12.0,1,2020.0,12,202828.0
Farmoor,water,13.0,1,2020.0,13,13822.0
London Storages,water,13.0,1,2020.0,13,202828.0
Farmoor,water,14.0,1,2020.0,14,13822.0
London Storages,water,14.0,1,2020.0,14,202828.0
Farmoor,water,15.0,1,2020.0,15,13822.0
London Storages,water,15.0,1,2020.0,15,202828.0
Farmoor,water,16.0,1,2020.0,16,13822.0
London Storages,water,16.0,1,2020.0,16,202828.0
Farmoor,water,17.0,1,2020.0,17,13822.0
London Storages,water,17.0,1,2020.0,17,202828.0
Farmoor,water,18.0,1,2020.0,18,13822.0
London Storages,water,18.0,1,2020.0,18,202828.0
Farmoor,water,19.0,1,2020.0,19,13822.0
London Storages,water,19.0,1,2020.0,19,202828.0
Farmoor,water,20.0,1,2020.0,20,13822.0
London Storages,water,20.0,1,2020.0,20,202828.0
Farmoor,water,21.0,1,2020.0,21,13822.0
London Storages,water,21.0,1,2020.0,21,202828.0
Farmoor,water,22.0,1,2020.0,22,13822.0
London Storages,water,22.0,1,2020.0,22,202828.0
Farmoor,water,23.0,1,2020.0,23,13822.0
London Storages,water,23.0,1,2020.0,23,202828.0
Farmoor,water,24.0,1,2020.0,24,13822.0
London Storages,water,24.0,1,2020.0,24,202828.0
Farmoor,water,25.0,1,2020.0,25,13822.0
London Storages,water,25.0,1,2020.0,25,202828.0
Farmoor,water,26.0,1,2020.0,26,13822.0
London Storages,water,26.0,1,2020.0,26,202828.0
Farmoor,water,27.0,1,2020.0,27,13822.0
London Storages,water,27.0,1,2020.0,27,202828.0
Farmoor,water,28.0,1,2020.0,28,13822.0
London Storages,water,28.0,1,2020.0,28,202828.0
Farmoor,water,29.0,1,2020.0,29,13822.0
London Storages,water,29.0,1,2020.0,29,202828.0
